"hotel_id","base_price","big_area_name","small_area_name","hotel_latitude","hotel_longitude","is_business"
h_1,26100,D,D-2,43.06456855822263,141.51139666434983,True
h_2,26400,A,A-1,35.71531970202519,139.93944644588987,True
h_3,41300,E,E-4,35.28157168065808,136.98856536061078,False
h_4,5200,C,C-3,38.43129309709185,140.79561484434421,False
h_5,13500,G,G-3,33.597291462214194,130.5338715811148,True
h_6,49500,A,A-3,35.912763699782325,139.73128106597213,True
h_7,18900,C,C-2,38.32870158964997,140.89496934194355,False
h_8,12400,B,B-2,35.543318290612,139.7987370494236,False
h_9,31400,C,C-1,38.232673596731956,140.79569303443034,False
h_10,5600,A,A-3,35.91387423929255,139.93100303561386,False
h_11,37400,G,G-1,33.49659766289563,130.53629390756853,False
h_12,6700,C,C-2,38.33454196078078,140.7939031575355,False
h_13,4700,F,F-3,34.629660875878365,132.46814488852027,False
h_14,7700,D,D-1,43.05955405620435,141.4130513963924,False
h_15,4300,E,E-4,35.28469720328332,136.9808692485576,False
h_16,22700,A,A-3,35.911392792694706,139.93251080375714,False
h_17,20400,E,E-3,35.28027465150361,136.8856232593416,False
h_18,27800,G,G-1,33.49167636684799,130.53605776430155,True
h_19,12000,A,A-1,35.70928111086795,139.83388371573236,False
h_20,7100,C,C-3,38.43569663944218,140.69932577987717,False
h_21,11200,E,E-1,35.17825159213537,136.8878913810523,False
h_22,10700,D,D-3,43.1648753862305,141.40822904209315,True
h_23,65100,B,B-1,35.440620095541554,139.80122709143333,False
h_24,4600,E,E-1,35.18682065663093,136.88324426174773,True
h_25,10100,A,A-1,35.81216105732196,139.73956630746193,True
h_26,49900,C,C-2,38.33265532587113,140.89743821132123,True
h_27,18700,D,D-1,43.05772423925032,141.41253242916008,False
h_28,5700,B,B-2,35.53829386619586,139.69456471585934,False
h_29,9300,C,C-1,38.236610133612686,140.89159399025507,True
h_30,7700,A,A-1,35.71416604926431,139.83766963685287,True
h_31,17600,C,C-1,38.23801003510353,140.69983256033652,True
h_32,14300,A,A-3,35.91145214173665,139.73218762657154,True
h_33,7500,E,E-4,35.28791464941572,136.98589500833583,False
h_34,8500,B,B-2,35.53749000421026,139.7024123529372,True
h_35,3500,A,A-1,35.810670894361685,139.73277470766047,True
h_36,30300,A,A-3,35.91060989964724,139.8367616349796,False
h_37,25100,B,B-2,35.54079104820202,139.70029305428255,False
