"target_day","holidayday_flg","nextday_is_holiday_flg"
2016-01-01,TRUE,TRUE
2016-01-02,TRUE,TRUE
2016-01-03,TRUE,FALSE
2016-01-04,FALSE,FALSE
2016-01-05,FALSE,FALSE
2016-01-06,FALSE,FALSE
2016-01-07,FALSE,FALSE
2016-01-08,FALSE,TRUE
2016-01-09,TRUE,TRUE
2016-01-10,TRUE,TRUE
2016-01-11,TRUE,FALSE
2016-01-12,FALSE,FALSE
2016-01-13,FALSE,FALSE
2016-01-14,FALSE,FALSE
2016-01-15,FALSE,TRUE
2016-01-16,TRUE,TRUE
2016-01-17,TRUE,FALSE
2016-01-18,FALSE,FALSE
2016-01-19,FALSE,FALSE
2016-01-20,FALSE,FALSE
2016-01-21,FALSE,FALSE
2016-01-22,FALSE,TRUE
2016-01-23,TRUE,TRUE
2016-01-24,TRUE,FALSE
2016-01-25,FALSE,FALSE
2016-01-26,FALSE,FALSE
2016-01-27,FALSE,FALSE
2016-01-28,FALSE,FALSE
2016-01-29,FALSE,TRUE
2016-01-30,TRUE,TRUE
2016-01-31,TRUE,FALSE
2016-02-01,FALSE,FALSE
2016-02-02,FALSE,FALSE
2016-02-03,FALSE,FALSE
2016-02-04,FALSE,FALSE
2016-02-05,FALSE,TRUE
2016-02-06,TRUE,TRUE
2016-02-07,TRUE,FALSE
2016-02-08,FALSE,FALSE
2016-02-09,FALSE,FALSE
2016-02-10,FALSE,TRUE
2016-02-11,TRUE,FALSE
2016-02-12,FALSE,TRUE
2016-02-13,TRUE,TRUE
2016-02-14,TRUE,FALSE
2016-02-15,FALSE,FALSE
2016-02-16,FALSE,FALSE
2016-02-17,FALSE,FALSE
2016-02-18,FALSE,FALSE
2016-02-19,FALSE,TRUE
2016-02-20,TRUE,TRUE
2016-02-21,TRUE,FALSE
2016-02-22,FALSE,FALSE
2016-02-23,FALSE,FALSE
2016-02-24,FALSE,FALSE
2016-02-25,FALSE,FALSE
2016-02-26,FALSE,TRUE
2016-02-27,TRUE,TRUE
2016-02-28,TRUE,FALSE
2016-02-29,FALSE,FALSE
2016-03-01,FALSE,FALSE
2016-03-02,FALSE,FALSE
2016-03-03,FALSE,FALSE
2016-03-04,FALSE,TRUE
2016-03-05,TRUE,TRUE
2016-03-06,TRUE,FALSE
2016-03-07,FALSE,FALSE
2016-03-08,FALSE,FALSE
2016-03-09,FALSE,FALSE
2016-03-10,FALSE,FALSE
2016-03-11,FALSE,TRUE
2016-03-12,TRUE,TRUE
2016-03-13,TRUE,FALSE
2016-03-14,FALSE,FALSE
2016-03-15,FALSE,FALSE
2016-03-16,FALSE,FALSE
2016-03-17,FALSE,FALSE
2016-03-18,FALSE,TRUE
2016-03-19,TRUE,TRUE
2016-03-20,TRUE,TRUE
2016-03-21,TRUE,FALSE
2016-03-22,FALSE,FALSE
2016-03-23,FALSE,FALSE
2016-03-24,FALSE,FALSE
2016-03-25,FALSE,TRUE
2016-03-26,TRUE,TRUE
2016-03-27,TRUE,FALSE
2016-03-28,FALSE,FALSE
2016-03-29,FALSE,FALSE
2016-03-30,FALSE,FALSE
2016-03-31,FALSE,FALSE
2016-04-01,FALSE,TRUE
2016-04-02,TRUE,TRUE
2016-04-03,TRUE,FALSE
2016-04-04,FALSE,FALSE
2016-04-05,FALSE,FALSE
2016-04-06,FALSE,FALSE
2016-04-07,FALSE,FALSE
2016-04-08,FALSE,TRUE
2016-04-09,TRUE,TRUE
2016-04-10,TRUE,FALSE
2016-04-11,FALSE,FALSE
2016-04-12,FALSE,FALSE
2016-04-13,FALSE,FALSE
2016-04-14,FALSE,FALSE
2016-04-15,FALSE,TRUE
2016-04-16,TRUE,TRUE
2016-04-17,TRUE,FALSE
2016-04-18,FALSE,FALSE
2016-04-19,FALSE,FALSE
2016-04-20,FALSE,FALSE
2016-04-21,FALSE,FALSE
2016-04-22,FALSE,TRUE
2016-04-23,TRUE,TRUE
2016-04-24,TRUE,FALSE
2016-04-25,FALSE,FALSE
2016-04-26,FALSE,FALSE
2016-04-27,FALSE,FALSE
2016-04-28,FALSE,TRUE
2016-04-29,TRUE,TRUE
2016-04-30,TRUE,TRUE
2016-05-01,TRUE,FALSE
2016-05-02,FALSE,TRUE
2016-05-03,TRUE,TRUE
2016-05-04,TRUE,TRUE
2016-05-05,TRUE,FALSE
2016-05-06,FALSE,TRUE
2016-05-07,TRUE,TRUE
2016-05-08,TRUE,FALSE
2016-05-09,FALSE,FALSE
2016-05-10,FALSE,FALSE
2016-05-11,FALSE,FALSE
2016-05-12,FALSE,FALSE
2016-05-13,FALSE,TRUE
2016-05-14,TRUE,TRUE
2016-05-15,TRUE,FALSE
2016-05-16,FALSE,FALSE
2016-05-17,FALSE,FALSE
2016-05-18,FALSE,FALSE
2016-05-19,FALSE,FALSE
2016-05-20,FALSE,TRUE
2016-05-21,TRUE,TRUE
2016-05-22,TRUE,FALSE
2016-05-23,FALSE,FALSE
2016-05-24,FALSE,FALSE
2016-05-25,FALSE,FALSE
2016-05-26,FALSE,FALSE
2016-05-27,FALSE,TRUE
2016-05-28,TRUE,TRUE
2016-05-29,TRUE,FALSE
2016-05-30,FALSE,FALSE
2016-05-31,FALSE,FALSE
2016-06-01,FALSE,FALSE
2016-06-02,FALSE,FALSE
2016-06-03,FALSE,TRUE
2016-06-04,TRUE,TRUE
2016-06-05,TRUE,FALSE
2016-06-06,FALSE,FALSE
2016-06-07,FALSE,FALSE
2016-06-08,FALSE,FALSE
2016-06-09,FALSE,FALSE
2016-06-10,FALSE,TRUE
2016-06-11,TRUE,TRUE
2016-06-12,TRUE,FALSE
2016-06-13,FALSE,FALSE
2016-06-14,FALSE,FALSE
2016-06-15,FALSE,FALSE
2016-06-16,FALSE,FALSE
2016-06-17,FALSE,TRUE
2016-06-18,TRUE,TRUE
2016-06-19,TRUE,FALSE
2016-06-20,FALSE,FALSE
2016-06-21,FALSE,FALSE
2016-06-22,FALSE,FALSE
2016-06-23,FALSE,FALSE
2016-06-24,FALSE,TRUE
2016-06-25,TRUE,TRUE
2016-06-26,TRUE,FALSE
2016-06-27,FALSE,FALSE
2016-06-28,FALSE,FALSE
