year_month,sales_amount,customer_number
2010-01,7191240,6885
2010-02,6253663,6824
2010-03,6868320,7834
2010-04,7147388,8552
2010-05,8755929,8171
2010-06,8373124,8925
2010-07,9916308,10104
2010-08,12393468,11236
2010-09,11116463,9983
2010-10,8933028,10477
2010-11,15456653,13283
2010-12,10358716,12275
2011-01,14693940,12974
2011-02,13857181,14918
2011-03,14358551,14318
2011-04,14456858,16313
2011-05,11843648,14773
2011-06,13360363,15035
2011-07,21355608,17879
2011-08,18967375,19190
2011-09,14431865,16676
2011-10,21377418,17830
2011-11,17600642,20179
2011-12,19250634,22143
2012-01,17911051,20521
2012-02,25463522,21875
2012-03,20119418,23667
2012-04,25893403,23565
2012-05,22022850,24826
2012-06,22059480,22390
2012-07,23467487,23515
2012-08,29272775,27095
2012-09,31017056,25984
2012-10,23617191,25813
2012-11,29220027,26596
2012-12,30238780,26831
2013-01,30801443,26234
2013-02,27681515,29182
2013-03,30565098,31065
2013-04,28867899,32056
2013-05,37202704,31437
2013-06,32007046,29420
2013-07,32555780,34681
2013-08,30935033,31376
2013-09,36767491,35823
2013-10,28731901,35414
2013-11,41245710,36830
2013-12,32480667,35799
2014-01,38212225,34862
2014-02,41809454,35630
2014-03,33615895,34717
2014-04,42994851,42253
2014-05,50526943,44212
2014-06,45860522,44189
2014-07,43060734,39451
2014-08,51874917,44999
2014-09,39936816,45727
2014-10,47212192,40098
2014-11,37635951,47029
2014-12,53707223,46254
2015-01,46179359,51097
2015-02,57516622,48526
2015-03,52856304,45497
2015-04,45931328,49391
2015-05,50271608,48966
2015-06,51267731,48042
2015-07,55607109,50158
2015-08,68979163,58469
2015-09,57292072,58658
2015-10,52777733,58714
2015-11,55834273,58245
2015-12,56149443,52164
2016-01,50676998,60158
2016-02,49251907,61152
2016-03,78172831,65876
2016-04,63065528,62502
2016-05,55138376,56476
2016-06,53736509,60180
2016-07,67062987,62110
2016-08,58868486,63666
2016-09,61462042,60695
2016-10,64444238,65123
2016-11,64393019,63586
2016-12,74700763,67611
2017-01,72641283,68948
2017-02,52647430,64591
2017-03,64955760,73194
2017-04,77359541,75737
2017-05,68039347,75616
2017-06,57711070,70345
2017-07,86442166,78941
2017-08,77234012,70502
2017-09,79272753,73524
2017-10,70444339,71332
2017-11,83979086,83167
2017-12,78081947,80827
2018-01,65403036,77015
2018-02,84606728,76626
2018-03,67140887,79465
2018-04,81598072,80194
2018-05,70568459,82708
2018-06,94654269,81849
2018-07,81055154,86651
2018-08,99010617,89789
2018-09,69074372,86323
2018-10,89915956,92019
2018-11,79551486,80411
2018-12,73556462,81035
2019-01,76792012,87076
2019-02,75977582,83628
2019-03,73190518,90275
2019-04,82836524,84806
2019-05,89497365,93108
2019-06,79302877,84303
2019-07,86152087,83731
2019-08,80528792,97059
2019-09,90191653,86560
2019-10,95749954,99507
2019-11,86998004,85215
2019-12,104401092,93620
